mainform;variation;count;details
sque-di;sque-di, sques-di, skeudi, skeudis, skeu-di, squeu-di, squeu-dis, sque-dis, squedi, skeus-dis;49;sque-di (21), sques-di (9), skeudi (7), skeudis (4), skeu-di (3), squeu-di (1), squeu-dis (1), sque-dis (1), squedi (1), skeus-dis (1)
ssiste-gro;ssiste-gro, ssistes-gro, ssistes-gros, ssite-gro;51;ssiste-gro (34), ssistes-gro (14), ssistes-gros (2), ssite-gro (1)
parlu;parlu, parlu', parlus;49;parlu (37), parlu' (10), parlus (2)
qué-bra;qué-bra, quer-bra, que-bra, quebra, québra;46;qué-bra (23), quer-bra (18), que-bra (2), quebra (2), québra (1)
mélo';mélo', mélos, mélos';47;mélo' (38), mélos (8), mélos' (1)
pec';pec', pek, pecs';47;pec' (36), pek (6), pecs' (5)
num';num', nums;47;num' (43), nums (4)
me-ca;me-ca, mé-ca, mé-cas, me-came, mée-ca, mes-ca;45;me-ca (38), mé-ca (2), mé-cas (2), me-came (1), mée-ca (1), mes-ca (1)
ti-sor;ti-sor, tit-sor, tissor, 'ti-sor', ti-ssors, 'tir-sor', tie-sor;45;ti-sor (36), tit-sor (3), tissor (2), 'ti-sor' (1), ti-ssors (1), 'tir-sor' (1), tie-sor (1)
ness;ness, 'sness, zness, snes, ness', 'sness', 'ness;45;ness (29), 'sness (5), zness (4), snes (3), ness' (2), 'sness' (1), 'ness (1)
cances-va;cances-va, cance-va, 'cances-van', cances-van;44;cances-va (38), cance-va (4), 'cances-van' (1), cances-van (1)
da';da', da's;44;da' (43), da's (1)
zoulettes;zoulettes, zoulette;44;zoulettes (24), zoulette (20)
teille-bou;teille-bou, teilles-bou, teile-bou, teillbou, teille-bou', teille-bous, teille'bou, teilles-bou';44;teille-bou (31), teilles-bou (7), teile-bou (1), teillbou (1), teille-bou' (1), teille-bous (1), teille'bou (1), teilles-bou' (1)
dass;dass, dass', 'dass', 'das;52;dass (45), dass' (5), 'dass' (1), 'das (1)
déf';déf', def', déf;47;déf' (21), def' (21), déf (5)
lance-ba;lance-ba, lances-ba, 'lances-ba';44;lance-ba (29), lances-ba (14), 'lances-ba' (1)
jet-pro;jet-pro, jets-pro, jetpro, jets-pro';45;jet-pro (30), jets-pro (12), jetpro (2), jets-pro' (1)
tron-pa;tron-pa, trons-pa, tronpa;48;tron-pa (46), trons-pa (1), tronpa (1)
me-sper;me-sper, mesper, me-sper', me'spèr;45;me-sper (39), mesper (3), me-sper' (2), me'spèr (1)
pit';pit', pitt', pits';43;pit' (38), pitt' (4), pits' (1)
dique-sa;dique-sa, diques-sa, dique-sa', 'dique-sa';44;dique-sa (31), diques-sa (11), dique-sa' (1), 'dique-sa' (1)
ce-fran;ce-fran, cefran, ceu-fran;42;ce-fran (35), cefran (6), ceu-fran (1)
cain-fri;cain-fri, cainfri, cainfris, kainfri, cains-fri, cainfry, cain-fri', cain-fry, cainfri', kainfre;43;cain-fri (13), cainfri (10), cainfris (8), kainfri (3), cains-fri (3), cainfry (2), cain-fri' (1), cain-fry (1), cainfri' (1), kainfre (1)
quer-ni;quer-ni, qué-ni, kéni, ké-ni, quer-ni', 'quer-ni', ke-ni;44;quer-ni (27), qué-ni (9), kéni (3), ké-ni (2), quer-ni' (1), 'quer-ni' (1), ke-ni (1)
ffe-bi;ffe-bi, fe-bi, feu-bi, ff-bi, fe-bi';45;ffe-bi (20), fe-bi (11), feu-bi (10), ff-bi (3), fe-bi' (1)
té-fri;té-fri, téfri, teffri, ter-fri, té-fri', tter-fri, tté-fri, tte-fri;42;té-fri (18), téfri (10), teffri (6), ter-fri (4), té-fri' (1), tter-fri (1), tté-fri (1), tte-fri (1)
ne-zo;ne-zo, nezo;45;ne-zo (42), nezo (3)
perpet';perpet', perpette, perpèt, perpét;41;perpet' (31), perpette (5), perpèt (3), perpét (2)
ché-mar;ché-mar, cher-mar, che-mar, chémar, ches-mar;44;ché-mar (20), cher-mar (14), che-mar (5), chémar (4), ches-mar (1)
oklm;oklm;25;
ter-chan;ter-chan, té-chan, te-chan, ter-chant;43;ter-chan (24), té-chan (16), te-chan (2), ter-chant (1)
deps;deps, dep', deps';41;deps (25), dep' (15), deps' (1)
beu;beu, beu', beuhs, beuh';42;beu (29), beu' (5), beuhs (5), beuh' (3)
ffaires-a;ffaires-a, ffaire-sa, ffaire-za, ffaires-as;41;ffaires-a (38), ffaire-sa (1), ffaire-za (1), ffaires-as (1)
pe-sa;pe-sa, ppes-sa, ppe-sa, ppé-sa;40;pe-sa (27), ppes-sa (8), ppe-sa (3), ppé-sa (2)
condi';condi', condi, condis';40;condi' (26), condi (13), condis' (1)
michtonneuses;michtonneuses, michtonneuse, michetonneuses, michtoneuse, michtoneuses, michetonneuse;40;michtonneuses (14), michtonneuse (6), michetonneuses (6), michtoneuse (5), michtoneuses (5), michetonneuse (4)
ce-pla;ce-pla, cé-pla, cepla, cée-pla;41;ce-pla (34), cé-pla (3), cepla (3), cée-pla (1)
iech;iech, ier-ch, iéch, ièch, iech', ier-ch', 'ier-ch', ieche, ie-ch, ie'-ch, iè-ch, ièche;40;iech (14), ier-ch (10), iéch (3), ièch (2), iech' (2), ier-ch' (2), 'ier-ch' (2), ieche (1), ie-ch (1), ie'-ch (1), iè-ch (1), ièche (1)
fe-keu;fe-keu, feu-keu, feukeus, feukeu, feu-keus, feu-ke, fe-keus, feuk, feuks;39;fe-keu (10), feu-keu (10), feukeus (6), feukeu (4), feu-keus (4), feu-ke (2), fe-keus (1), feuk (1), feuks (1)
sique-mu;sique-mu, zic-mu, zicmu, zik-mu, sic-mu, zikmu, zique-mu;40;sique-mu (26), zic-mu (5), zicmu (3), zik-mu (2), sic-mu (2), zikmu (1), zique-mu (1)
bre-cham;bre-cham, bre-chan, bré-chan, brer-cham, bré-cham, bres-cham;39;bre-cham (30), bre-chan (2), bré-chan (2), brer-cham (2), bré-cham (2), bres-cham (1)
mi-dor;mi-dor, midor, mis-dor;39;mi-dor (33), midor (4), mis-dor (2)
tur-fu;tur-fu, turfu, turf', tur-fu';54;tur-fu (25), turfu (21), turf' (7), tur-fu' (1)
tié-pi;tié-pi, tièpe, tié'pi, tiépis, tiepi;41;tié-pi (36), tièpe (2), tié'pi (1), tiépis (1), tiepi (1)
pe-cli;pe-cli, peu-cli, peucli, pe-clis, pecli, peuclis, peus-cli;43;pe-cli (27), peu-cli (8), peucli (2), pe-clis (2), pecli (2), peuclis (1), peus-cli (1)
bum-al;bum-al, bums-al, bum-al', bum-als, bumal;42;bum-al (34), bums-al (3), bum-al' (3), bum-als (1), bumal (1)
trix-ma;trix-ma;14;
cello';cello';32;
qué-blo;qué-blo, québlo, quer-blo, keblo, qués-blo, queblo, que-blo;38;qué-blo (26), québlo (4), quer-blo (3), keblo (2), qués-blo (1), queblo (1), que-blo (1)
chaudasse;chaudasse, chaudasses, chaudace;37;chaudasse (27), chaudasses (9), chaudace (1)
le-sa;le-sa, lesa;37;le-sa (35), lesa (2)
kalashé;kalashé, kalashés, kalashée;38;kalashé (33), kalashés (4), kalashée (1)
'caille;'caille, 'cailles, caill', caille', caill;38;'caille (19), 'cailles (10), caill' (4), caille' (3), caill (2)
cendar;cendar, cendars, cendard, cendar', cendards;50;cendar (30), cendars (10), cendard (6), cendar' (2), cendards (2)
deks;deks, dek, dek', deks', dek's;36;deks (19), dek (8), dek' (5), deks' (2), dek's (2)
rect-di;rect-di, rectdi, rects-di, recdit;36;rect-di (33), rectdi (1), rects-di (1), recdit (1)
touches-car;touches-car, touche-car, touchescar, touchkar, touchecars;37;touches-car (21), touche-car (13), touchescar (1), touchkar (1), touchecars (1)
gare-ci;gare-ci, gares-ci, gar-ci, gareci, gar-cis;36;gare-ci (20), gares-ci (9), gar-ci (5), gareci (1), gar-cis (1)
benzo;benzo, benza, benzo', benzos, benzer;37;benzo (32), benza (2), benzo' (1), benzos (1), benzer (1)
ons;ons, ons-s, onss;37;ons (34), ons-s (2), onss (1)
inarrêtable;inarrêtable, inarrêtables, inarretables, innarretable, innarêtable;36;inarrêtable (28), inarrêtables (5), inarretables (1), innarretable (1), innarêtable (1)
loux-ja;loux-ja, lou-ja;37;loux-ja (34), lou-ja (3)
mé-fu;mé-fu, mer-fu, méfu, mer-fu';37;mé-fu (23), mer-fu (9), méfu (4), mer-fu' (1)
nnais-co;nnais-co, nais-co, nnait-co, nnaît-co, nnaissent-co, nnait-do, naiss-co;38;nnais-co (20), nais-co (6), nnait-co (5), nnaît-co (4), nnaissent-co (1), nnait-do (1), naiss-co (1)
dit-ban;dit-ban, dits-ban, di-ban;36;dit-ban (18), dits-ban (14), di-ban (4)
deuss;deuss, deuss', deus', deusse;35;deuss (17), deuss' (9), deus' (8), deusse (1)
pe-stu;pe-stu, pestu, pe-stus;35;pe-stu (31), pestu (3), pe-stus (1)
garre-ba;garre-ba, garres-ba, gar-ba, gare-ba, garba, gares-ba;34;garre-ba (21), garres-ba (6), gar-ba (3), gare-ba (2), garba (1), gares-ba (1)
del-bor;del-bor, dél-bor;43;del-bor (42), dél-bor (1)
soum-soum;soum-soum, soumsoum, soum'soum';35;soum-soum (32), soumsoum (2), soum'soum' (1)
ché-tou;ché-tou, cher-tou, che-tou;34;ché-tou (24), cher-tou (9), che-tou (1)
mi-homme;mi-homme, mi-hommes;33;mi-homme (32), mi-hommes (1)
cimer;cimer, ci-mer;33;cimer (20), ci-mer (13)
briganté;briganté, brigantés;23;briganté (19), brigantés (4)
le-gueu;le-gueu, le-geu, legueu, 'le-gueu', le-gue;32;le-gueu (24), le-geu (3), legueu (2), 'le-gueu' (2), le-gue (1)
ché-per;ché-per, chéper, cher-per, chépèr, chépère, che-per, ché-per', chés-per;32;ché-per (21), chéper (5), cher-per (1), chépèr (1), chépère (1), che-per (1), ché-per' (1), chés-per (1)
ste-po;ste-po, stepo;35;ste-po (33), stepo (2)
feuj;feuj, feujs, feuj', feu-jui;32;feuj (14), feujs (14), feuj' (3), feu-jui (1)
canap';canap';41;
che-bou;che-bou, chebou, ches-bou;31;che-bou (28), chebou (2), ches-bou (1)
yeuf;yeuf, yeufs, ille-f, ille-fi, ill-euf, ill-eufs, illes-f', yeu-f', ieuf', lleufi;32;yeuf (13), yeufs (11), ille-f (1), ille-fi (1), ill-euf (1), ill-eufs (1), illes-f' (1), yeu-f' (1), ieuf' (1), lleufi (1)
nois-chi;nois-chi, noi-chi, noichi, noichis, noi'chi, noi-chis, noise-chi;31;nois-chi (17), noi-chi (5), noichi (3), noichis (3), noi'chi (1), noi-chis (1), noise-chi (1)
