mainform;variation;count;details
que-chè;que-chè, ques-chè, que-che, que-ché, que-ch';18;que-chè (6), ques-chè (5), que-che (3), que-ché (3), que-ch' (1)
zonzon;zonzon, zon-zon, 'zon-'zon, son-son;18;zonzon (11), zon-zon (5), 'zon-'zon (1), son-son (1)
che-fraî;che-fraî, che-frai, chefrai, che-fré;16;che-fraî (7), che-frai (6), chefrai (2), che-fré (1)
mé-fer;mé-fer, mée-fer, mer-fer, me-fer, més-fer;16;mé-fer (9), mée-fer (2), mer-fer (2), me-fer (2), més-fer (1)
ce-fa;ce-fa, ce-fa';16;ce-fa (15), ce-fa' (1)
reuch;reuch, reuch', re-ch';16;reuch (14), reuch' (1), re-ch' (1)
puterie;puterie, puteries;16;puterie (15), puteries (1)
taspèche;taspèche, taspèch', tassepèche, tasse-pêches, tasspèch', tasspèche, tasspèches, tasspèchs, tassepèches, tassepêche, tasses-pêches, tasse-peche;15;taspèche (3), taspèch' (2), tassepèche (1), tasse-pêches (1), tasspèch' (1), tasspèche (1), tasspèches (1), tasspèchs (1), tassepèches (1), tassepêche (1), tasses-pêches (1), tasse-peche (1)
que-sa;que-sa, ce-sa, keussa, keu-sa;19;que-sa (8), ce-sa (7), keussa (2), keu-sa (2)
beuz;beuz, beuz', beuze, beuzeuh, beuhzer, beuzé;14;beuz (7), beuz' (3), beuze (1), beuzeuh (1), beuhzer (1), beuzé (1)
ffe-spli;ffe-spli, fe-spli, feu-spli, ff-spli, ffeu-spli, ffeuspli;14;ffe-spli (5), fe-spli (3), feu-spli (2), ff-spli (2), ffeu-spli (1), ffeuspli (1)
tain-pu;tain-pu, tains-pu, tainpu;16;tain-pu (10), tains-pu (5), tainpu (1)
tier-qu's;tier-qu's, tiequs, tier-qu', tiecko, tiequ's, tie-qu, 'tie-qu, 'tie-qu', tièqu's, tiekos;16;tier-qu's (5), tiequs (2), tier-qu' (2), tiecko (1), tiequ's (1), tie-qu (1), 'tie-qu (1), 'tie-qu' (1), tièqu's (1), tiekos (1)
rents-p;rents-p, rents-p', renp', rent-p, rent-p's, ren-p';13;rents-p (6), rents-p' (2), renp' (2), rent-p (1), rent-p's (1), ren-p' (1)
be-jam;be-jam, bes-jam, be-jan, 'bes-jam', besjam;13;be-jam (8), bes-jam (2), be-jan (1), 'bes-jam' (1), besjam (1)
dékis;dékis, dékiss, dékiz, dekiss, dès-kis, sdés-ki, sdés-kis;13;dékis (4), dékiss (4), dékiz (1), dekiss (1), dès-kis (1), sdés-ki (1), sdés-kis (1)
me-ri;me-ri, mes-ri, mes-ri', me-ris, mer-ri;12;me-ri (7), mes-ri (2), mes-ri' (1), me-ris (1), mer-ri (1)
testos;testos, testos', testoss;12;testos (10), testos' (1), testoss (1)
beugeuh;beugeuh, beugeu, beuhgeu, beu-geuh;12;beugeuh (5), beugeu (4), beuhgeu (2), beu-geuh (1)
iens;iens, ien', 'ients, ients', ient, ienc';11;iens (3), ien' (3), 'ients (2), ients' (1), ient (1), ienc' (1)
nne-chie;nne-chie, ne-chiè, ne-chie, ne-chié, ne-chien, nne-chiè, nnes-chie;11;nne-chie (5), ne-chiè (1), ne-chie (1), ne-chié (1), ne-chien (1), nne-chiè (1), nnes-chie (1)
certs-con;certs-con, cert-con, 'cert-con', cer-con;12;certs-con (5), cert-con (5), 'cert-con' (1), cer-con (1)
te-schmi;te-schmi, teu-schmi, teushmi, te-shmi, te-schmis, teush-mi, teuch-mé, tesh-mi;13;te-schmi (4), teu-schmi (2), teushmi (2), te-shmi (1), te-schmis (1), teush-mi (1), teuch-mé (1), tesh-mi (1)
ffer-ki;ffer-ki, ffé-ki, ffe-ki;10;ffer-ki (5), ffé-ki (3), ffe-ki (2)
stre-mon;stre-mon, stremon, stres-mon;9;stre-mon (7), stremon (1), stres-mon (1)
qlf;qlf;28;
